Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Novembers Doom,Hamartia,/album/243440/Novembers-Doom-Hamartia/,53,3.379245283,3.14984047,-0.229,2.592556278,2.59 - 3.66,704,912,"Willie (8.3%), DrGonzo1937 (7.1%), linguist2011 (6.6%), DoofusWainwright (6.3%), kingdedethefifth (5.8%)"
White Reaper,The World's Best American Band,/album/243444/White-Reaper-The-Worlds-Best-American-Band/,38,3.210526316,3.246896715,0.036,2.591827009,2.59 - 3.83,705,1073,"DoofusWainwright (9.5%), Papa+Universe (8.4%), jtswope (8.0%), wtferrothorn (6.9%), ianblxdsoe (5.7%)"
In Hearts Wake,Ark,/album/251105/In-Hearts-Wake-Ark/,56,3.241071429,3.133819106,-0.107,2.591271894,2.59 - 3.63,706,1042,"Willie (10.7%), linguist2011 (8.4%), Gameofmetal (7.8%), Metalstyles (7.7%), Shamus248 (5.8%)"
Flobots,Noenemies,/album/250025/Flobots-Noenemies/,18,3.416666667,3.529636954,0.113,2.590646638,2.59 - 4.26,707,857,"Papa+Universe (17.1%), DatsNotDaMetulz (10.7%), VaxXi (10.1%), Ebola (9.2%), humblerodent (9.1%)"
Attic,Sanctimonious,/album/257904/Attic-Sanctimonious/,13,3.784615385,3.688666738,-0.096,2.590552672,2.59 - 4.47,708,191,"Hawks (21.1%), Papa+Universe (15.9%), linguist2011 (14.8%), manosg (12.8%), Anthracks (10.7%)"
Animal Collective,Meeting of the Waters,/album/247825/Animal-Collective-Meeting-of-the-Waters/,52,3.173076923,3.150344301,-0.023,2.587777041,2.59 - 3.66,709,1103,"Willie (10.2%), Frippertronics (8.6%), DoofusWainwright (7.5%), wtferrothorn (5.7%), Anthracks (4.3%)"
Ride,Weather Diaries,/album/248348/Ride-Weather-Diaries/,68,3.404411765,3.079756129,-0.325,2.586228132,2.59 - 3.54,710,879,"Frippertronics (7.2%), DoofusWainwright (6.3%), butcherboy (6.0%), Conmaniac (5.7%), Papa+Universe (5.6%)"
The Drip,The Haunting Fear of Inevitability,/album/242090/The-Drip-The-Haunting-Fear-of-Inevitability/,35,3.4,3.266500116,-0.133,2.584665999,2.58 - 3.87,711,882,"linguist2011 (13.6%), Mort. (7.8%), MoosechriS (6.7%), Sniff (5.5%), Relinquished (5.3%)"
Acid Witch,Evil Sound Screamers,/album/265793/Acid-Witch-Evil-Sound-Screamers/,14,3.664285714,3.64398432,-0.02,2.584222404,2.58 - 4.42,712,425,"Hawks (22.4%), linguist2011 (15.3%), Xenophanes (13.8%), Anthracks (11.0%), PsychicChris (10.6%)"
Career Suicide,Machine Response,/album/245951/Career-Suicide-Machine-Response/,14,3.678571429,3.643550703,-0.035,2.58377666,2.58 - 4.42,713,388,"Papa+Universe (23.5%), bungy (16.9%), Sniff (13.3%), hesperus (12.0%), aaronrkc (9.7%)"
People Like You,Verse,/album/258330/People-Like-You-Verse/,20,3.475,3.476379834,0.001,2.58353442,2.58 - 4.19,714,775,"Conmaniac (18.0%), Archelirion (17.4%), verdant (13.8%), ianblxdsoe (12.4%), eloimayano (7.3%)"
Me And That Man,Songs of Love and Death,/album/242250/Me-And-That-Man-Songs-of-Love-and-Death/,46,3.304347826,3.180609826,-0.124,2.583374858,2.58 - 3.72,715,989,"Willie (17.4%), Chamberbelain (10.7%), TheNotrap (7.4%), Dewinged (6.4%), ZippaThaRippa (6.0%)"
The Necks,Unfold,/album/243532/The-Necks-Unfold/,30,3.606666667,3.31567889,-0.291,2.58104559,2.58 - 3.95,716,534,"YakNips (10.5%), JohnnyOnTheSpot (10.3%), jtswope (10.3%), Sinternet (7.4%), scissorlocked (6.9%)"
Suffering Hour,In Passing Ascension,/album/249179/Suffering-Hour-In-Passing-Ascension/,24,3.625,3.39812855,-0.227,2.580106124,2.58 - 4.08,717,492,"Hawks (19.0%), Jacquibim (15.8%), Bloon (10.6%), Anthracks (8.6%), Sniff (7.9%)"
Like Moths to Flames,Dark Divine,/album/261438/Like-Moths-to-Flames-Dark-Divine/,38,3.368421053,3.235137913,-0.133,2.579811393,2.58 - 3.82,718,924,"erizen826 (13.8%), BlackMalachite (13.2%), SatelliteYears (10.6%), JesperL (8.3%), iamSeraph (6.7%)"
Causa Sui,Vibraciones Doradas,/album/266701/Causa-Sui-Vibraciones-Doradas/,11,3.654545455,3.767547887,0.113,2.576698603,2.58 - 4.57,719,445,"insomniac15 (24.2%), Papa+Universe (21.0%), Dewinged (11.4%), ChaoticVortex (9.4%), EvoHavok (9.1%)"
Color Film,Living Arrangements,/album/253073/Color-Film-Living-Arrangements/,14,3.642857143,3.636407457,-0.006,2.576437939,2.58 - 4.41,720,460,"TheSupernatural (20.0%), Tyler. (19.9%), drasticaction74 (16.4%), Dolving999 (11.1%), SnakeDelilah (8.3%)"
Laura Marling,Semper Femina,/album/241947/Laura-Marling-Semper-Femina/,69,3.38115942,3.066463912,-0.315,2.576303915,2.58 - 3.52,721,909,"SowingSeason (7.7%), Willie (6.9%), Atari (6.3%), DoofusWainwright (5.0%), Jasdevi087 (4.5%)"
Of Montreal,Rune Husk,/album/242253/Of-Montreal-Rune-Husk/,16,3.4375,3.570273386,0.133,2.576213253,2.58 - 4.33,722,830,"Papa+Universe (19.0%), Sinternet (12.7%), Anthracks (11.7%), SandwichBubble (10.8%), Dewinged (10.1%)"
Deafcult,Auras,/album/256099/Deafcult-Auras/,15,3.633333333,3.601234865,-0.032,2.575849359,2.58 - 4.37,723,479,"DoofusWainwright (34.5%), theBoneyKing (15.3%), Cygnatti (11.1%), JesperL (8.7%), McMegaMountain (6.4%)"
Exhumed,Death Revenge,/album/264422/Exhumed-Death-Revenge/,25,3.62,3.377599868,-0.242,2.575369387,2.58 - 4.05,724,503,"Hawks (16.5%), Atari (15.5%), linguist2011 (12.8%), Madbutcher3 (10.5%), jtswope (10.1%)"
DJ Shadow,The Mountain Has Fallen,/album/256425/DJ-Shadow-The-Mountain-Has-Fallen/,23,3.47826087,3.4100764,-0.068,2.575009131,2.58 - 4.1,725,771,"Sniff (12.6%), hesperus (12.0%), JasonCarne (10.8%), BradleyLayne (9.6%), aaronrkc (9.0%)"
Municipal Waste,Slime and Punishment,/album/251406/Municipal-Waste-Slime-and-Punishment/,40,3.3625,3.211104442,-0.151,2.571707182,2.57 - 3.78,726,932,"Willie (19.5%), Spec (16.1%), cmaitland421 (7.5%), TheManMachine (4.9%), DungeonBoy (4.9%)"
Andy James,Exodus,/album/252300/Andy-James-Exodus/,30,3.616666667,3.305662517,-0.311,2.57079456,2.57 - 3.94,727,513,"linguist2011 (27.1%), AsleepInTheBack (12.7%), brainmelter (10.6%), bgillesp (9.1%), Dmax28 (9.1%)"
Gallops,Bronze Mystic,/album/251124/Gallops-Bronze-Mystic/,16,3.5625,3.564901285,0.002,2.570696409,2.57 - 4.32,728,615,"Papa+Universe (21.0%), jtswope (20.6%), Sniff (12.0%), hesperus (10.7%), bgillesp (7.6%)"
Sithu Aye,Senpai EP II: The Noticing,/album/252366/Sithu-Aye-Senpai-EP-II-The-Noticing/,27,3.388888889,3.343759498,-0.045,2.570597891,2.57 - 4,729,895,"Calc (20.3%), cryptologous (10.9%), Dmax28 (7.5%), bgillesp (6.8%), SirArthur6 (6.5%)"
Jlin,Black Origami,/album/253013/Jlin-Black-Origami/,64,3.2109375,3.076430809,-0.135,2.567772036,2.57 - 3.55,730,1072,"DoofusWainwright (6.1%), JohnnyOnTheSpot (5.4%), Papa+Universe (5.4%), jtswope (5.3%), Lord%28e%29Po%29%29%29ts (5.0%)"
Orden Ogan,Gunmen,/album/256608/Orden-Ogan-Gunmen/,20,3.725,3.460901021,-0.264,2.567640714,2.57 - 4.18,731,298,"linguist2011 (26.3%), PumpBoffBag (15.3%), BlazinBlitzer (10.1%), SirArthur6 (8.9%), John7 (7.3%)"
Novo Amor,Bathing Beach,/album/253826/Novo-Amor-Bathing-Beach/,10,3.9,3.813516957,-0.086,2.566018196,2.57 - 4.62,732,51,"neekafat (29.5%), AsleepInTheBack (19.8%), guitarded_chuck (16.4%), BlushfulHippocrene (15.2%), mttgry (9.1%)"
