ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
mac demarco - this old dog,30,singer-songwriter,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,34,17,71.96296296,2,0
kasabian - for crying out loud,108,alternative dance,NA,NA,35,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,17,71.96296296,2,0
william basinski - a shadow in time,206,ambient,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,17,71.96296296,2,0
japandroids - near to the wild heart of life,398,indie rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,34,17,71.96296296,2,0
bonobo - migration,242,downtempo,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,17.25,72,2,0
jens lekman - life will see you now,244,indie pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,34.5,17.25,72,2,0
john maus - screen memories,287,hypnagogic pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,49,48.33,16.11111111,72.03703704,3,0
benjamin booker - witness,131,indie rock,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,17.75,72.07407407,2,0
caterina barbieri - patterns of consciousness,441,electronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,35,35.5,17.75,72.07407407,2,0
ride - weather diaries,196,shoegaze,NA,NA,NA,NA,NA,NA,35,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,18,72.11111111,2,0
g perico - all blue,262,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,36,18,72.11111111,2,0
brian eno - reflection,42,ambient,42,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,18.25,72.14814815,2,0
oneohtrix point never - good time,225,electronic,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,18.25,72.14814815,2,0
blue hawaii - tenderness,318,indietronica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,37,18.5,72.18518519,2,0
