Band_Album,Rating,ratings,reviews,lists,comments,id
Brand New_Science Fiction,2,348,0,0,2,1380
Brand New_Science Fiction,2.5,8,0,0,0,1560
Brand New_Science Fiction,5,553,0,4,319,114
Brand New_Science Fiction,3,1952,0,0,5,2157
Brand New_Science Fiction,3.5,1300,0,0,2,2335
Brand New_Science Fiction,5,231,0,0,19,483
Brand New_Science Fiction,4,25,0,0,1,1590
Brand New_Science Fiction,5,47,0,0,0,1761
Brand New_Science Fiction,3.5,5058,14,36,6081,2140
Brand New_Science Fiction,3.5,1251,1,0,1,1799
Brand New_Science Fiction,3,236,0,0,0,475
Brand New_Science Fiction,4,335,0,1,20,509
Brand New_Science Fiction,1,88,0,0,1607,2063
Brand New_Science Fiction,5,141,0,1,0,2123
Brand New_Science Fiction,2.5,127,0,0,16,537
Brand New_Science Fiction,1,123,0,0,0,1932
Brand New_Science Fiction,4.5,13,0,0,0,682
Brand New_Science Fiction,4.5,6,0,0,0,2030
Brand New_Science Fiction,5,154,0,0,1,1293
Brand New_Science Fiction,4,93,1,0,12,1148
Brand New_Science Fiction,3.5,89,0,1,0,1465
Brand New_Science Fiction,4.5,72,0,0,0,2408
Brand New_Science Fiction,4.5,62,0,0,0,323
Brand New_Science Fiction,1.5,77,0,0,128,975
Brand New_Science Fiction,1,27,0,1,15,773
Brand New_Science Fiction,4.5,16,0,0,0,1756
Brand New_Science Fiction,3.5,650,0,0,0,394
Brand New_Science Fiction,4,621,0,0,6,756
Brand New_Science Fiction,1.5,94,0,0,0,1689
Brand New_Science Fiction,1,218,0,0,0,2276
Brand New_Science Fiction,5,88,0,0,2,2537
Brand New_Science Fiction,4,1243,3,1,6,380
Brand New_Science Fiction,2.5,457,0,0,177,1329
Brand New_Science Fiction,3.5,1110,1,81,2086,2038
Brand New_Science Fiction,4,362,0,0,1,1231
Brand New_Science Fiction,3,157,0,1,0,2248
Brand New_Science Fiction,1.5,2408,0,0,5216,2597
Brand New_Science Fiction,4.5,1324,0,100,3498,316
Brand New_Science Fiction,1,66,201,12,14957,353
Brand New_Science Fiction,5,51,0,6,1357,1579
Brand New_Science Fiction,5,78,4,6,1934,2653
Brand New_Science Fiction,5,1383,0,15,397,32
Brand New_Science Fiction,5,142,0,0,0,1197
Brand New_Science Fiction,4.5,763,1,3,1437,696
Brand New_Science Fiction,3.5,242,0,1,2,608
Brand New_Science Fiction,1.5,724,2,4,2947,2308
Brand New_Science Fiction,4.5,137,4,0,140,2620
Brand New_Science Fiction,3,3,0,0,0,2188
Brand New_Science Fiction,1,370,0,0,39,1536
Brand New_Science Fiction,1.5,581,4,18,4161,1248
Brand New_Science Fiction,1,184,1,0,9,1747
Brand New_Science Fiction,4.5,98,0,0,0,178
Brand New_Science Fiction,3,968,1,0,40,386
Brand New_Science Fiction,4.5,130,0,0,36,1795
Brand New_Science Fiction,1.5,4342,92,41,17205,430
Brand New_Science Fiction,3.5,514,0,0,0,747
Brand New_Science Fiction,5,43,0,0,0,259
