Band_Album,Rating,ratings,reviews,lists,comments
Joy Division_Unknown Pleasures,3,337,0,0,3
Joy Division_Unknown Pleasures,4,101,0,0,5
Joy Division_Unknown Pleasures,4.5,218,0,0,6
Joy Division_Unknown Pleasures,4.5,191,0,0,0
Joy Division_Unknown Pleasures,5,550,0,0,16
Joy Division_Unknown Pleasures,4.5,260,0,0,0
Joy Division_Unknown Pleasures,4.5,232,1,1,6
Joy Division_Unknown Pleasures,4.5,149,0,0,0
Joy Division_Unknown Pleasures,5,544,0,1,28
Joy Division_Unknown Pleasures,4.5,952,0,0,0
Joy Division_Unknown Pleasures,3.5,586,2,0,87
Joy Division_Unknown Pleasures,5,470,0,8,108
Joy Division_Unknown Pleasures,4.5,306,0,0,0
Joy Division_Unknown Pleasures,5,154,0,0,54
Joy Division_Unknown Pleasures,5,81,0,0,5
Joy Division_Unknown Pleasures,3.5,123,0,0,0
Joy Division_Unknown Pleasures,4.5,340,0,2,4
Joy Division_Unknown Pleasures,5,2724,0,0,1847
Joy Division_Unknown Pleasures,4.5,553,0,0,6
Joy Division_Unknown Pleasures,3.5,3556,0,24,10039
Joy Division_Unknown Pleasures,4,1157,12,30,5267
Joy Division_Unknown Pleasures,3.5,847,2,0,97
Joy Division_Unknown Pleasures,4,505,0,0,2
Joy Division_Unknown Pleasures,4.5,460,0,0,0
Joy Division_Unknown Pleasures,3,1170,3,0,46
Joy Division_Unknown Pleasures,3.5,1492,0,0,34
Joy Division_Unknown Pleasures,4.5,958,18,2,314
Joy Division_Unknown Pleasures,5,235,0,2,0
Joy Division_Unknown Pleasures,5,88,0,2,18
Joy Division_Unknown Pleasures,5,2465,1,1,233
Joy Division_Unknown Pleasures,4.5,135,0,0,0
Joy Division_Unknown Pleasures,4.5,448,4,3,1149
Joy Division_Unknown Pleasures,4,1675,13,13,8702
Joy Division_Unknown Pleasures,4,1552,0,0,4872
Joy Division_Unknown Pleasures,5,913,0,4,144
Joy Division_Unknown Pleasures,5,881,0,5,103
Joy Division_Unknown Pleasures,5,19,1,5,12416
Joy Division_Unknown Pleasures,3,1394,82,63,39562
Joy Division_Unknown Pleasures,5,519,0,0,0
Joy Division_Unknown Pleasures,4,1543,0,53,15695
Joy Division_Unknown Pleasures,4.5,1627,2,1,5513
Joy Division_Unknown Pleasures,4,763,133,4,18931
Joy Division_Unknown Pleasures,5,21,0,0,0
Joy Division_Unknown Pleasures,3.5,367,0,0,0
Joy Division_Unknown Pleasures,4.5,596,0,16,45
Joy Division_Unknown Pleasures,2.5,737,1,1,4300
Joy Division_Unknown Pleasures,4.5,39,0,0,0
Joy Division_Unknown Pleasures,4.5,83,0,0,2
Joy Division_Unknown Pleasures,3.5,487,0,0,0
Joy Division_Unknown Pleasures,5,40,1,0,1
Joy Division_Unknown Pleasures,4.5,533,0,2,2
Joy Division_Unknown Pleasures,4,565,0,0,2
Joy Division_Unknown Pleasures,4,736,0,0,3
Joy Division_Unknown Pleasures,5,233,0,4,1
Joy Division_Unknown Pleasures,4.5,826,0,6,982
Joy Division_Unknown Pleasures,4.5,436,0,0,0
Joy Division_Unknown Pleasures,4.5,852,0,4,63
Joy Division_Unknown Pleasures,4.5,915,22,4,377
Joy Division_Unknown Pleasures,4,1257,0,22,617
Joy Division_Unknown Pleasures,2.5,968,1,0,40
Joy Division_Unknown Pleasures,5,487,0,0,0
Joy Division_Unknown Pleasures,2,893,0,0,2
Joy Division_Unknown Pleasures,4.5,1024,0,6,73
Joy Division_Unknown Pleasures,5,189,0,0,0
Joy Division_Unknown Pleasures,3,634,0,0,0
Joy Division_Unknown Pleasures,4.5,330,0,9,29
Joy Division_Unknown Pleasures,2,1745,2,10,377
Joy Division_Unknown Pleasures,3,1744,82,49,5483
Joy Division_Unknown Pleasures,4,506,0,8,6
Joy Division_Unknown Pleasures,4.5,68,0,0,0
Joy Division_Unknown Pleasures,5,1045,0,1,227
Joy Division_Unknown Pleasures,4.5,459,0,1,1
Joy Division_Unknown Pleasures,5,36,0,4,18
Joy Division_Unknown Pleasures,4,893,50,136,11437
Joy Division_Unknown Pleasures,5,2675,0,13,1069
Joy Division_Unknown Pleasures,3,698,0,0,0
Joy Division_Unknown Pleasures,5,146,0,0,0
Joy Division_Unknown Pleasures,4,112,0,0,1590
Joy Division_Unknown Pleasures,4.5,1393,0,0,0
Joy Division_Unknown Pleasures,4.5,369,18,0,28
Joy Division_Unknown Pleasures,4,1317,4,18,2700
Joy Division_Unknown Pleasures,5,143,0,0,0
Joy Division_Unknown Pleasures,5,743,0,10,102
Joy Division_Unknown Pleasures,4.5,591,0,9,1835
Joy Division_Unknown Pleasures,3.5,71,0,0,0
Joy Division_Unknown Pleasures,4.5,91,0,0,0
Joy Division_Unknown Pleasures,5,437,0,0,0
Joy Division_Unknown Pleasures,3,36,0,0,1
Joy Division_Unknown Pleasures,3,141,3,11,215
Joy Division_Unknown Pleasures,4.5,70,0,0,0
Joy Division_Unknown Pleasures,4,224,0,0,1
Joy Division_Unknown Pleasures,5,337,0,0,0
Joy Division_Unknown Pleasures,4.5,265,0,0,15
Joy Division_Unknown Pleasures,4,964,0,2,12
Joy Division_Unknown Pleasures,4,2679,0,1,328
Joy Division_Unknown Pleasures,5,62,0,0,0
Joy Division_Unknown Pleasures,4.5,510,0,0,0
Joy Division_Unknown Pleasures,5,88,0,0,2
Joy Division_Unknown Pleasures,5,80,0,0,0
Joy Division_Unknown Pleasures,4.5,910,0,4,236
Joy Division_Unknown Pleasures,3,288,0,0,0
Joy Division_Unknown Pleasures,3.5,2569,0,3,194
Joy Division_Unknown Pleasures,3,465,1,16,2473
Joy Division_Unknown Pleasures,3.5,71,0,0,0
Joy Division_Unknown Pleasures,3.5,1098,31,19,9844
Joy Division_Unknown Pleasures,4,350,7,2,36
Joy Division_Unknown Pleasures,5,461,22,29,237
Joy Division_Unknown Pleasures,3,94,0,0,0
Joy Division_Unknown Pleasures,4,255,0,0,0
Joy Division_Unknown Pleasures,4,1696,19,13,897
Joy Division_Unknown Pleasures,4.5,363,0,0,0
Joy Division_Unknown Pleasures,4,328,0,0,0
Joy Division_Unknown Pleasures,4,1327,11,19,1563
Joy Division_Unknown Pleasures,5,445,0,0,0
Joy Division_Unknown Pleasures,4.5,1737,1,6,1335
Joy Division_Unknown Pleasures,3,1246,0,0,0
Joy Division_Unknown Pleasures,3.5,1845,155,50,13738
Joy Division_Unknown Pleasures,4,3633,0,4,1492
Joy Division_Unknown Pleasures,4.5,313,1,0,0
Joy Division_Unknown Pleasures,4,1194,0,2,350
Joy Division_Unknown Pleasures,5,403,0,0,2
Joy Division_Unknown Pleasures,4,646,1,0,6
Joy Division_Unknown Pleasures,5,162,0,0,0
Joy Division_Unknown Pleasures,5,1778,63,36,328
Joy Division_Unknown Pleasures,3,1178,10,6,1226
Joy Division_Unknown Pleasures,4,659,1,0,30
Joy Division_Unknown Pleasures,4,5176,1,28,36852
Joy Division_Unknown Pleasures,5,17,0,0,0
Joy Division_Unknown Pleasures,5,198,0,0,0
Joy Division_Unknown Pleasures,5,533,0,0,0
Joy Division_Unknown Pleasures,4.5,243,0,1,1
Joy Division_Unknown Pleasures,3.5,1752,19,31,488
Joy Division_Unknown Pleasures,4,157,0,3,76
Joy Division_Unknown Pleasures,4.5,156,0,0,1
Joy Division_Unknown Pleasures,3.5,199,0,0,0
Joy Division_Unknown Pleasures,4.5,23,0,0,0
Joy Division_Unknown Pleasures,4.5,365,0,0,0
Joy Division_Unknown Pleasures,4.5,206,0,0,13
Joy Division_Unknown Pleasures,5,248,1,14,1892
Joy Division_Unknown Pleasures,5,117,0,0,30
Joy Division_Unknown Pleasures,4.5,227,0,0,0
Joy Division_Unknown Pleasures,5,708,6,5,6
Joy Division_Unknown Pleasures,3,233,0,0,3
Joy Division_Unknown Pleasures,4.5,332,1,1,29
Joy Division_Unknown Pleasures,3.5,116,0,0,0
Joy Division_Unknown Pleasures,4.5,94,0,0,0
Joy Division_Unknown Pleasures,5,32,0,0,0
Joy Division_Unknown Pleasures,5,502,1,0,90
Joy Division_Unknown Pleasures,4.5,911,8,5,474
Joy Division_Unknown Pleasures,4,708,0,1,143
Joy Division_Unknown Pleasures,5,930,1,12,25
Joy Division_Unknown Pleasures,5,31,0,0,0
Joy Division_Unknown Pleasures,4,120,0,0,0
Joy Division_Unknown Pleasures,4.5,1516,0,0,1215
Joy Division_Unknown Pleasures,5,587,0,0,0
Joy Division_Unknown Pleasures,5,102,0,0,0
Joy Division_Unknown Pleasures,5,125,0,1,0
Joy Division_Unknown Pleasures,5,400,0,0,0
Joy Division_Unknown Pleasures,4,346,3,3,691
Joy Division_Unknown Pleasures,4.5,79,0,0,0
Joy Division_Unknown Pleasures,5,3031,3,1,770
Joy Division_Unknown Pleasures,5,610,3,2,231
